ID 	nb 	source 	last_update 	data 	taxonomy
Acinetobacter_baumannii_ab0057_GCA_000021245.1 	71 	ensemblgenomes 	2015-02-18.003755 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_ab11111_GCA_000297915.1 	72 	ensemblgenomes 	2015-02-21.004350 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_ab210_GCA_000189655.2 	73 	ensemblgenomes 	2015-02-23.075345 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_abnih3_GCA_000222265.2 	74 	ensemblgenomes 	2015-02-18.003801 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_ac12_GCA_000282795.2 	75 	ensemblgenomes 	2015-02-18.003807 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_acicu_GCA_000018445.1 	76 	ensemblgenomes 	2015-02-19.203319 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_is_116_GCA_000297535.1 	77 	ensemblgenomes 	2015-02-17.173520 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_is_123_GCA_000286535.1 	78 	ensemblgenomes 	2015-02-18.003813 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_is_143_GCA_000297515.1 	79 	ensemblgenomes 	2015-02-18.003820 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_is_235_GCA_000304695.1 	80 	ensemblgenomes 	2015-02-21.001838 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_mdr_zj06_GCA_000226275.1 	81 	ensemblgenomes 	2015-02-23.020308 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_naval_113_GCA_000314655.1 	82 	ensemblgenomes 	2015-02-18.003832 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_naval_2_GCA_000309175.1 	83 	ensemblgenomes 	2015-02-18.003838 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_naval_82_GCA_000309255.1 	84 	ensemblgenomes 	2015-02-18.003849 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc0162_GCA_000307895.1 	85 	ensemblgenomes 	2015-02-18.003855 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc035_GCA_000309235.1 	86 	ensemblgenomes 	2015-02-18.003902 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc074_GCA_000305215.1 	87 	ensemblgenomes 	2015-02-20.120219 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc098_GCA_000305235.1 	88 	ensemblgenomes 	2015-02-18.003915 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc099_GCA_000309135.1 	89 	ensemblgenomes 	2015-02-20.092217 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc110_GCA_000305275.1 	90 	ensemblgenomes 	2015-02-18.003922 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc111_GCA_000309155.1 	91 	ensemblgenomes 	2015-02-21.202848 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_oifc189_GCA_000278685.1 	92 	ensemblgenomes 	2015-02-18.003929 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_wc_136_GCA_000315155.1 	93 	ensemblgenomes 	2015-02-18.003940 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter;Baumannii
Acinetobacter_baumannii_wc_348_GCA_000314635.1 	94 	ensemblgenomes 	2015-02-18.003947 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_wc_692_GCA_000297575.1 	95 	ensemblgenomes 	2015-02-19.211025 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_wc_a_694_GCA_000309215.1 	96 	ensemblgenomes 	2015-02-18.004000 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_zws1122_GCA_000299655.1 	97 	ensemblgenomes 	2015-02-18.004012 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_calcoaceticus_PHEA_2_uid83123 	98 	NCBI 	2015-02-18.004018 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_calcoaceticus_phea_2_GCA_000191145.1 	99 	ensemblgenomes 	2015-02-18.004029 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter calcoaceticus;Acinetobacter;Calcoaceticus
Acinetobacter_oleivorans_DR1_uid50119 	100 	NCBI 	2015-02-18.004035 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
Acinetobacter_radioresistens_sk82_GCA_000175675.1 	101 	ensemblgenomes 	2015-02-18.004041 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens;Acinetobacter;Radioresistens
Acinetobacter_radioresistens_wc_a_157_GCA_000286595.1 	102 	ensemblgenomes 	2015-02-18.004051 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens;Acinetobacter;Radioresistens
Actinobacillus_minor_nm305_GCA_000175195.1 	103 	ensemblgenomes 	2015-02-18.004058 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus minor;Actinobacillus;Minor
Actinobacillus_pleuropneumoniae_serovar_10_str_d13039_GCA_000178595.1 	104 	ensemblgenomes 	2015-02-19.001921 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 10;Actinobacillus;Pleuropneumoniae
Actinobacillus_pleuropneumoniae_serovar_11_str_56153_GCA_000178615.1 	105 	ensemblgenomes 	2015-02-18.004104 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 11;Actinobacillus;Pleuropneumoniae
